,0,1,2,3,4
fit_time,0.270780086517334,0.1020047664642334,0.0724022388458252,0.06855654716491699,0.09589457511901855
score_time,0.018160343170166016,0.023782730102539062,0.012600421905517578,0.014686346054077148,0.01215362548828125
test_r2,0.30904302340500256,0.37007746352869786,0.35212076590212105,0.25720719502152956,0.2900553389035754
train_r2,0.394882451261106,0.38168563155425583,0.383253172628341,0.38522184037768126,0.39584250350500383
test_sklearn MAPE,-0.09694210788856951,-0.10229663063899797,-0.09605234029844566,-0.10230896009324465,-0.1025568311095258
train_sklearn MAPE,-0.09580826737222549,-0.09505140363127049,-0.09641623037753198,-0.09570840241009076,-0.09493719347693123
test_neg_root_mean_square_error,-0.7233182277545006,-0.7340517455130372,-0.7170694837879765,-0.7659070329904911,-0.7520446905424217
train_neg_root_mean_square_error,-0.6997992488635233,-0.6965477518752278,-0.7024599822324482,-0.7016379751953137,-0.694969691901059
test_neg_mean_squared_error,-0.5231892586019117,-0.5388319650907367,-0.5141886445799552,-0.5866135831842972,-0.5655712165730469
train_neg_mean_squared_error,-0.4897189887099514,-0.48517877064243387,-0.4934500266380115,-0.49229584823617956,-0.4829828726610528
